step,price,action,action_name,q_hold,q_buy,q_sell
138,104.1625518798828,2,SELL,20956.791,20967.885,20978.18
139,104.87430572509766,2,SELL,20957.586,20955.178,20969.73
140,104.70573425292967,2,SELL,20934.783,20950.076,20959.62
141,105.39878845214844,0,HOLD,20965.637,20950.766,20965.32
142,105.01477813720705,2,SELL,20956.85,20972.484,20981.02
143,106.2416534423828,0,HOLD,21058.572,20975.643,21024.512
144,105.99819946289062,0,HOLD,21115.654,21083.568,21108.047
145,106.4383316040039,0,HOLD,21194.713,21119.02,21163.832
146,106.44774627685548,2,SELL,21507.678,21466.877,21509.297
147,106.5694351196289,2,SELL,21604.877,21576.445,21627.828
148,107.3093490600586,0,HOLD,21578.363,21481.172,21565.68
149,107.68394470214844,2,SELL,21931.252,21631.293,21943.773
150,107.91807556152344,2,SELL,21927.703,21739.791,21938.021
151,108.48937225341795,1,BUY,21930.508,21955.082,21942.566
152,107.66522216796876,0,HOLD,21968.559,21948.676,21949.914
153,108.0210952758789,0,HOLD,21972.12,21947.707,21960.217
154,108.33015441894533,1,BUY,21917.166,21935.102,21927.047
155,109.3697280883789,0,HOLD,21928.14,21529.426,21753.969
156,109.24797058105467,0,HOLD,21919.678,21547.66,21803.264
157,109.50083923339844,0,HOLD,21754.229,21491.158,21600.688
158,109.21990203857422,0,HOLD,21557.205,21424.56,21530.482
159,109.68817138671876,0,HOLD,21504.828,21386.662,21465.914
160,109.7630844116211,0,HOLD,21395.959,21279.51,21360.732
161,110.23136138916016,0,HOLD,21198.465,21114.834,21184.346
162,109.6226043701172,0,HOLD,21063.172,21047.127,21057.281
163,109.81928253173828,0,HOLD,21118.879,21068.39,21115.17
164,109.8473663330078,0,HOLD,21268.404,21153.809,21262.693
165,109.81928253173828,0,HOLD,21297.55,21212.246,21273.31
166,109.90357208251952,2,SELL,21271.045,21169.092,21274.973
167,110.10021209716795,0,HOLD,21277.74,21219.719,21274.246
168,109.38846588134766,0,HOLD,21356.32,21288.477,21352.559
169,109.21050262451172,0,HOLD,21434.281,21360.025,21430.52
170,109.3697280883789,0,HOLD,21441.676,21377.578,21437.914
171,109.5195770263672,0,HOLD,21487.04,21427.8,21478.488
172,109.16370391845705,2,SELL,21515.855,21445.945,21522.516
173,109.05130767822266,2,SELL,21498.455,21419.209,21504.545
174,109.33229064941406,2,SELL,21532.234,21446.578,21536.656
175,109.68817138671876,2,SELL,21502.473,21425.205,21509.133
176,110.3718490600586,0,HOLD,21529.824,21441.895,21527.367
177,110.43742370605467,2,SELL,21585.447,21503.621,21592.11
178,109.79118347167967,2,SELL,21664.352,21574.44,21664.684
179,107.02838134765624,2,SELL,21657.34,21577.785,21664.004
180,108.94830322265624,0,HOLD,21615.68,21522.977,21613.223
181,107.97428131103516,0,HOLD,21633.457,21540.758,21631.0
182,108.48937225341795,0,HOLD,21635.4,21542.71,21632.938
183,110.1751708984375,0,HOLD,21636.846,21544.184,21634.389
184,110.12259674072266,0,HOLD,21569.307,21503.799,21566.848
185,109.64374542236328,0,HOLD,21555.586,21490.084,21553.133
186,109.85031127929688,0,HOLD,21589.557,21524.113,21587.094
187,110.93002319335938,0,HOLD,21583.852,21518.453,21581.402
188,111.81259155273438,0,HOLD,21602.502,21536.207,21600.084
189,111.09905242919922,0,HOLD,21542.004,21423.29,21539.596
190,110.16951751708984,0,HOLD,21324.65,21232.238,21322.268
191,111.25865173339844,0,HOLD,21235.832,21192.264,21233.445
192,111.44642639160156,0,HOLD,21221.24,21195.818,21218.855
193,110.63897705078124,2,SELL,21201.787,21188.746,21206.387
194,111.46520233154295,2,SELL,21193.262,21180.22,21197.863
195,111.30558013916016,0,HOLD,21218.559,21178.303,21216.172
196,111.1365737915039,0,HOLD,21246.486,21177.68,21244.098
197,111.53093719482422,0,HOLD,21273.19,21186.973,21270.805
198,111.4745864868164,0,HOLD,21304.586,21212.172,21302.203
199,111.23048400878906,0,HOLD,21400.285,21307.867,21397.895
200,111.93463897705078,2,SELL,21155.54,21142.494,21160.14
201,110.33851623535156,2,SELL,21150.266,21137.223,21154.873
202,110.24464416503906,2,SELL,21115.145,21102.104,21119.746
203,109.85031127929688,2,SELL,21058.346,21045.305,21062.951
204,109.9817352294922,2,SELL,21043.09,21030.047,21047.691
205,109.68131256103516,2,SELL,21052.088,21039.05,21056.691
206,110.6577377319336,2,SELL,21019.531,21017.188,21025.518
207,110.64834594726562,0,HOLD,21014.312,20971.418,20973.258
208,110.51692962646484,0,HOLD,21021.078,20985.72,20989.287
209,110.93002319335938,0,HOLD,21064.145,20998.484,21035.732
210,112.26323699951172,2,SELL,21072.973,21071.438,21085.82
211,111.9064712524414,0,HOLD,21167.35,21073.863,21152.123
212,111.14598083496094,0,HOLD,21319.666,21272.145,21315.713
213,110.63897705078124,0,HOLD,21392.75,21310.164,21388.988
214,109.9441909790039,0,HOLD,21311.605,21251.223,21307.842
215,109.84089660644533,2,SELL,21274.32,21208.121,21276.164
216,109.01470184326172,0,HOLD,21089.664,21067.363,21079.129
217,108.14152526855467,0,HOLD,21036.492,20960.39,20995.418
218,107.08057403564452,0,HOLD,20963.059,20952.225,20932.746
219,106.70502471923828,0,HOLD,20959.996,20945.121,20959.68
220,109.239990234375,2,SELL,20972.643,20960.652,20975.21
221,109.9535903930664,0,HOLD,20993.164,20978.293,20992.848
222,110.46057891845705,0,HOLD,20992.48,20977.61,20992.164
223,108.67668914794922,0,HOLD,21002.02,20987.152,21001.707
224,108.7236328125,0,HOLD,20983.16,20968.287,20982.844
225,107.62513732910156,0,HOLD,20982.05,20967.18,20981.734
226,109.11797332763672,2,SELL,20970.129,20960.182,20974.736
227,109.76580810546876,2,SELL,20962.66,20961.584,20975.771
228,110.56385803222656,0,HOLD,20971.895,20955.549,20932.574
229,110.1507339477539,0,HOLD,21039.846,20927.98,21001.031
230,111.29615783691406,0,HOLD,21065.477,20962.375,21032.035
231,111.63419342041016,0,HOLD,21084.02,21020.8,21076.016
232,111.18351745605467,0,HOLD,21040.434,20955.197,21000.762
233,111.54035949707033,1,BUY,20967.24,20980.527,20967.957
234,111.28681182861328,0,HOLD,20977.588,20974.125,20955.312
235,111.67174530029295,0,HOLD,20983.773,20960.42,20941.463
236,110.3197250366211,2,SELL,20943.361,20949.537,20963.57
237,108.41381072998048,0,HOLD,20940.45,20925.578,20940.133
238,108.62975311279295,0,HOLD,20931.2,20916.33,20930.887
239,109.47473907470705,2,SELL,20894.621,20880.71,20895.268
240,109.73765563964844,0,HOLD,21087.938,21037.22,21060.316
241,111.12720489501952,0,HOLD,21174.338,21101.85,21146.668
242,111.3243637084961,0,HOLD,21186.828,21113.678,21158.514
243,112.19751739501952,0,HOLD,21100.74,21044.867,21073.117
244,111.69050598144533,0,HOLD,21198.252,21125.797,21170.613
245,113.09886169433594,0,HOLD,21181.33,21108.89,21153.707
246,112.8641586303711,0,HOLD,21271.912,21203.295,21246.68
247,113.04254150390624,0,HOLD,21257.84,21187.83,21231.969
