Date,Action,Action_Name,group
2023-04-18,0,HOLD,151
2023-04-19,0,HOLD,151
2023-04-20,2,SELL,152
2023-04-21,0,HOLD,153
2023-04-24,0,HOLD,153
2023-04-25,0,HOLD,153
2023-04-26,0,HOLD,153
2023-04-27,0,HOLD,153
2023-04-28,0,HOLD,153
2023-05-01,0,HOLD,153
2023-05-02,2,SELL,154
2023-05-03,0,HOLD,155
2023-05-04,0,HOLD,155
2023-05-05,0,HOLD,155
2023-05-08,0,HOLD,155
2023-05-09,0,HOLD,155
2023-05-10,0,HOLD,155
2023-05-11,0,HOLD,155
2023-05-12,0,HOLD,155
2023-05-15,0,HOLD,155
2023-05-16,0,HOLD,155
2023-05-17,0,HOLD,155
2023-05-18,0,HOLD,155
2023-05-19,0,HOLD,155
2023-05-22,0,HOLD,155
2023-05-23,0,HOLD,155
2023-05-24,0,HOLD,155
2023-05-25,0,HOLD,155
2023-05-26,0,HOLD,155
2023-05-30,0,HOLD,155
2023-05-31,0,HOLD,155
2023-06-01,0,HOLD,155
2023-06-02,0,HOLD,155
2023-06-05,0,HOLD,155
2023-06-06,0,HOLD,155
2023-06-07,0,HOLD,155
2023-06-08,0,HOLD,155
2023-06-09,0,HOLD,155
2023-06-12,2,SELL,156
2023-06-13,2,SELL,156
2023-06-14,0,HOLD,157
2023-06-15,0,HOLD,157
2023-06-16,0,HOLD,157
2023-06-20,0,HOLD,157
2023-06-21,0,HOLD,157
2023-06-22,0,HOLD,157
2023-06-23,0,HOLD,157
2023-06-26,0,HOLD,157
2023-06-27,0,HOLD,157
2023-06-28,0,HOLD,157
2023-06-29,0,HOLD,157
2023-06-30,0,HOLD,157
2023-07-03,0,HOLD,157
2023-07-05,0,HOLD,157
2023-07-06,0,HOLD,157
2023-07-07,0,HOLD,157
2023-07-10,0,HOLD,157
2023-07-11,0,HOLD,157
2023-07-12,0,HOLD,157
2023-07-13,0,HOLD,157
2023-07-14,0,HOLD,157
2023-07-17,0,HOLD,157
2023-07-18,0,HOLD,157
